"","new_field","Estimate","SE","t value","P","lower_bound","upper_bound"
"1","soil_IDF01",5.00095284832986,5.82632627280632,0.8583372461771,0.391951414127736,-6.502811600505,16.5047172971647
"2","soil_IDF04",22.7925175996231,6.72766208398264,3.38788085892245,0.000880797751719864,9.5091145971654,36.0759206020808
"3","soil_IDF05",-6.63373047770434,5.82632627280632,-1.1385786114771,0.256529373979012,-18.1374949265392,4.87003397113052
"4","soil_IDF09",2.11188568212967,5.82632627280632,0.362472951778661,0.717462490121677,-9.39187876670519,13.6156501309645
"5","soil_IDF10",6.00040318057885,6.72766208398264,0.891900203320964,0.373745251470556,-7.28299982187886,19.2838061830366
"6","soil_IDF11",2.87445714595149,5.82632627280632,0.493356707359091,0.62241657209924,-8.62930730288337,14.3782215947863
"7","soil_IDF16",11.7050329941035,5.82632627280632,2.00899030470288,0.0461686790385694,0.201268545268677,23.2087974429384
"8","soil_IDF19",25.790624185595,5.82632627280632,4.42656709871701,1.7349456237566e-05,14.2868597367601,37.2943886344298
"9","soil_IDF21",10.3383647075169,5.82632627280632,1.77442254749275,0.0778373695021991,-1.16539974131796,21.8421291563518
"10","soil_IDF22",-3.43266750796612,5.82632627280632,-0.589164998188942,0.556556374967218,-14.936431956801,8.07109694086874
"11","soil_IDF23",-18.6289090867202,5.82632627280632,-3.19736798360716,0.00166260923240606,-30.132673535555,-7.12514463788533
"12","soil_IDF29",6.88859147507412,6.22860478182882,1.10596059894035,0.270353494198665,-5.40945001798029,19.1866329681285
"13","soil_IDF31",-8.70094625642797,5.82632627280632,-1.49338465596041,0.137246291899093,-20.2047107052628,2.80281819240689
"14","soil_IDF33",1.64514250457488,5.82632627280632,0.282363607450785,0.778018596023854,-9.85862194425998,13.1489069534097
"15","soil_IDF34",0.804105910674086,5.82632627280632,0.13801250960269,0.890398812639567,-10.6996585381608,12.3078703595089
"16","soil_IDF36",8.8531004280305,6.22860478182882,1.42136172355297,0.15709889558882,-3.4449410650239,21.1511419210849
"17","soil_IDF37",6.52717501612099,5.82632627280632,1.120289992441,0.264218197170282,-4.97658943271387,18.0309394649559
"18","soil_IDF48",19.586417555621,5.82632627280632,3.3617097015384,0.000962682526426637,8.08265310678619,31.0901820044559
"19","soil_IDF52",-22.6091695225198,5.82632627280632,-3.88051895206168,0.000150404004222382,-34.1129339713547,-11.105405073685
"20","soil_IDF53",18.7352605733425,6.72766208398264,2.78480998888868,0.00598241821071938,5.45185757088475,32.0186635758002
"21","soil_IDF57",-1.91605956466133,6.22860478182882,-0.307622594750464,0.758757476315982,-14.2141010577157,10.3819819283931
"22","soil_IDF61",-3.3682350490484,5.82632627280632,-0.578106149799615,0.563980614023474,-14.8719994978833,8.13552939978646
"23","soil_IDF62",5.21339288626707,6.22860478182882,0.837008137276024,0.403798642431329,-7.08464860678733,17.5114343793215
"24","soil_IDF63",5.51367632376545,5.82632627280632,0.946338407016421,0.345359823581282,-5.99008812506941,17.0174407726003
"25","soil_IDF64",20.1821338880083,5.82632627280632,3.46395531987386,0.000678251939162302,8.67836943917344,31.6858983368432
