"","soil_ID","treatment","total_dry_weight","meanC","diff","equation1","equation2","BRI"
"1","F01","IF",959.56,805.18125,154.37875,16.0884936846054,19.173167532155,16.0884936846054
"2","F01","IF",884.64,805.18125,79.45875,8.98204354313619,9.86843024474304,8.98204354313619
"3","F01","IF",804.66,805.18125,-0.521249999999895,-0.0647789128327414,-0.0647369769228856,-0.0647369769228856
"4","F01","IF",733.28,805.18125,-71.90125,-9.80542903120227,-8.9298217016355,-8.9298217016355
"5","F01","IF",1035.55,805.18125,230.36875,22.2460286804114,28.6107941534903,22.2460286804114
"6","F01","IF",936.37,805.18125,131.18875,14.0103538131294,16.2930706595565,14.0103538131294
"7","F01","IF",649.38,805.18125,-155.80125,-23.9923080476762,-19.3498358288895,-19.3498358288895
"8","F01","IF",866.02,805.18125,60.83875,7.02509757280433,7.55590744319989,7.02509757280433
"9","F04","IF",476.94,390.733542857143,86.2064571428572,18.0749060978021,22.0627224661834,18.0749060978021
"10","F04","IF",581.44,390.733542857143,190.706457142857,32.7989916660115,48.8072909605772,32.7989916660115
"11","F04","IF",479.38,390.733542857143,88.6464571428572,18.4918972720717,22.6871889458611,18.4918972720717
"12","F04","IF",595.0758,390.733542857143,204.342257142857,34.3388618967293,52.2970860522121,34.3388618967293
"13","F04","IF",475.9423,390.733542857143,85.2087571428572,17.9031695948978,21.8073822175054,17.9031695948978
"14","F04","IF",460.4844,390.733542857143,69.7508571428572,15.1472790702263,17.8512591043045,15.1472790702263
"15","F05","IF",752.81,898.69375,-145.88375,-19.3785616556635,-16.2328657565494,-16.2328657565494
"16","F05","IF",898.34,898.69375,-0.353749999999991,-0.0393781864327591,-0.0393626861208252,-0.0393626861208252
"17","F05","IF",806.03,898.69375,-92.66375,-11.4963152736251,-10.3109374022018,-10.3109374022018
"18","F05","IF",820.77,898.69375,-77.92375,-9.49398126149836,-8.67077911691274,-8.67077911691274
"19","F05","IF",939.75,898.69375,41.05625,4.36884809789837,4.56843613299858,4.36884809789837
"20","F05","IF",952.52,898.69375,53.82625,5.65093121404274,5.98938737473138,5.65093121404274
"21","F05","IF",744.56,898.69375,-154.13375,-20.701320242828,-17.1508647968232,-17.1508647968232
"22","F05","IF",802.67,898.69375,-96.0237500000001,-11.9630420970013,-10.6848133749678,-10.6848133749678
"23","F09","IF",350.86,425.225,-74.365,-21.1950635581144,-17.4883885002058,-17.4883885002058
"24","F09","IF",389.86,425.225,-35.365,-9.07120504796595,-8.31677347286731,-8.31677347286731
"25","F09","IF",383.09,425.225,-42.135,-10.9987209271973,-9.90887177376684,-9.90887177376684
"26","F09","IF",480.78,425.225,55.555,11.5551811639419,13.0648480216356,11.5551811639419
"27","F09","IF",444.31,425.225,19.085,4.29542436587067,4.48821212299371,4.29542436587067
"28","F09","IF",506.71,425.225,81.485,16.0811904245032,19.1627961667352,16.0811904245032
"29","F09","IF",655.5,425.225,230.275,35.1296720061022,54.1536833441119,35.1296720061022
"30","F09","IF",363.77,425.225,-61.455,-16.8939164856915,-14.4523487565407,-14.4523487565407
"31","F10","IF",504.48,490.356666666667,14.1233333333333,2.7995824082884,2.88021644109391,2.7995824082884
"32","F10","IF",545.69,490.356666666667,55.3333333333334,10.1400673153866,11.2843032622513,10.1400673153866
"33","F10","IF",483.24,490.356666666667,-7.11666666666667,-1.47269817619955,-1.4513245460787,-1.4513245460787
"34","F10","IF",571.35,490.356666666667,80.9933333333333,14.1757825034276,16.5172289557941,14.1757825034276
"35","F10","IF",502.94,490.356666666667,12.5833333333334,2.50195517026551,2.56615932620474,2.50195517026551
"36","F10","IF",532.05,490.356666666667,41.6933333333333,7.83635623218368,8.50265453037584,7.83635623218368
"37","F11","IF",695.5,708.21,-12.71,-1.82746225736881,-1.79466542409737,-1.79466542409737
"38","F11","IF",731.31,708.21,23.0999999999999,3.158715182344,3.26174439784808,3.158715182344
"39","F11","IF",736.53,708.21,28.3199999999999,3.84505722781149,3.99881391112804,3.84505722781149
"40","F11","IF",753.8,708.21,45.5899999999999,6.04802334836826,6.437356151424,6.04802334836826
"41","F11","IF",834.5,708.21,126.29,15.1336129418814,17.8322813854648,15.1336129418814
"42","F11","IF",675.29,708.21,-32.9200000000001,-4.87494261724593,-4.64833876957401,-4.64833876957401
"43","F11","IF",672.87,708.21,-35.34,-5.25212894021134,-4.99004532553904,-4.99004532553904
"44","F11","IF",755.37,708.21,47.16,6.24329798641725,6.65904180963273,6.24329798641725
"45","F16","IF",842.57,787.365,55.2049999999999,6.551977877209,7.01136067770347,6.551977877209
"46","F16","IF",959.29,787.365,171.925,17.9221090598255,21.835489258476,17.9221090598255
"47","F16","IF",767.71,787.365,-19.655,-2.56021153821104,-2.49630095317928,-2.49630095317928
"48","F16","IF",832.9,787.365,45.535,5.46704286228838,5.78321363027312,5.46704286228838
"49","F16","IF",899.1,787.365,111.735,12.4274274274274,14.1910041721438,12.4274274274274
"50","F16","IF",878.81,787.365,91.4449999999999,10.4055484120572,11.6140544728303,10.4055484120572
"51","F16","IF",1111.75,787.365,324.385,29.1778727231842,41.1988086846634,29.1778727231842
"52","F16","IF",917.51,787.365,130.145,14.1845865440159,16.5291827805402,14.1845865440159
"53","F19","IF",736.71,622.26,114.45,15.5352852547135,18.3926333044065,15.5352852547135
"54","F19","IF",766.32,622.26,144.06,18.7989351706859,23.1510943978401,18.7989351706859
"55","F19","IF",1056.58,622.26,434.32,41.1062106040243,69.7971908848391,41.1062106040243
"56","F19","IF",648.02,622.26,25.76,3.9751859510509,4.13974865811719,3.9751859510509
